error_id,language,compiler,error_message,category,clean_error
66,Python,Python,unexpected character '#',Lexical,unexpected character
67,C++,GCC,invalid character '%' in identifier,Lexical,invalid character in identifier
68,C,Clang,invalid character 'ptr' in identifier,Lexical,invalid character ptr in identifier
69,Python,Python,invalid suffix 'obj' on integer constant,Lexical,invalid suffix obj on integer constant
70,C,Clang,unexpected character 'obj',Lexical,unexpected character obj
71,C++,Clang,stray 'num' in program,Lexical,stray num in program
72,C++,Clang,invalid character 'temp' in identifier,Lexical,invalid character temp in identifier
73,C++,Clang,invalid suffix '#' on integer constant,Lexical,invalid suffix on integer constant
74,C++,GCC,invalid suffix 'num' on integer constant,Lexical,invalid suffix num on integer constant
75,C,GCC,unexpected character '#',Lexical,unexpected character
76,C,GCC,stray '#' in program,Lexical,stray in program
77,C,GCC,stray '^' in program,Lexical,stray in program
78,Python,Python,invalid character 'obj' in identifier,Lexical,invalid character obj in identifier
79,C++,GCC,invalid suffix 'temp' on integer constant,Lexical,invalid suffix temp on integer constant
80,Python,Python,invalid character 'index' in identifier,Lexical,invalid character index in identifier
81,C,Clang,invalid suffix 'temp' on integer constant,Lexical,invalid suffix temp on integer constant
82,C++,GCC,stray 'obj' in program,Lexical,stray obj in program
83,C,Clang,invalid token 'num',Lexical,invalid token num
84,Python,Python,invalid suffix '!' on integer constant,Lexical,invalid suffix on integer constant
85,C++,Clang,invalid suffix '#' on integer constant,Lexical,invalid suffix on integer constant
86,C++,GCC,invalid token '#',Lexical,invalid token
87,Python,Python,invalid character '$' in identifier,Lexical,invalid character in identifier
88,Python,Python,unexpected character 'var',Lexical,unexpected character var
89,Python,Python,invalid token 'var',Lexical,invalid token var
90,C++,GCC,unexpected character '^',Lexical,unexpected character
91,C++,GCC,invalid token '!',Lexical,invalid token
92,C,GCC,invalid suffix '@' on integer constant,Lexical,invalid suffix on integer constant
93,C,Clang,unexpected character '#',Lexical,unexpected character
94,Python,Python,invalid character '#' in identifier,Lexical,invalid character in identifier
95,C,Clang,stray 'num' in program,Lexical,stray num in program
96,C++,GCC,unexpected character '#',Lexical,unexpected character
97,C,GCC,stray '^' in program,Lexical,stray in program
98,Python,Python,invalid character 'obj' in identifier,Lexical,invalid character obj in identifier
99,C,GCC,unexpected character 'temp',Lexical,unexpected character temp
100,Python,Python,stray 'temp' in program,Lexical,stray temp in program
101,Python,Python,invalid character '!' in identifier,Lexical,invalid character in identifier
102,C++,GCC,unexpected character '&',Lexical,unexpected character
103,C,GCC,invalid token 'ptr',Lexical,invalid token ptr
104,C++,GCC,invalid character '#' in identifier,Lexical,invalid character in identifier
105,C++,Clang,unexpected character '?',Lexical,unexpected character
106,Python,Python,stray 'ptr' in program,Lexical,stray ptr in program
107,C++,Clang,unexpected character 'value',Lexical,unexpected character value
108,C,GCC,unexpected character 'var',Lexical,unexpected character var
109,C++,GCC,invalid token '#',Lexical,invalid token
110,C,Clang,unexpected character 'var',Lexical,unexpected character var
111,Python,Python,stray '%' in program,Lexical,stray in program
112,C++,GCC,unexpected character '*',Lexical,unexpected character
113,Python,Python,invalid character 'obj' in identifier,Lexical,invalid character obj in identifier
114,C++,Clang,invalid token 'index',Lexical,invalid token index
115,Python,Python,unexpected character '?',Lexical,unexpected character
116,C++,GCC,unexpected character 'ptr',Lexical,unexpected character ptr
117,Python,Python,stray '$' in program,Lexical,stray in program
118,Python,Python,stray 'obj' in program,Lexical,stray obj in program
119,C,Clang,invalid character '#' in identifier,Lexical,invalid character in identifier
120,C++,GCC,invalid character '*' in identifier,Lexical,invalid character in identifier
121,C++,GCC,invalid suffix 'num' on integer constant,Lexical,invalid suffix num on integer constant
122,C,Clang,invalid suffix '#' on integer constant,Lexical,invalid suffix on integer constant
123,Python,Python,stray '!' in program,Lexical,stray in program
124,Python,Python,stray 'value' in program,Lexical,stray value in program
125,C++,Clang,invalid token '#',Lexical,invalid token
126,Python,Python,invalid character 'data' in identifier,Lexical,invalid character data in identifier
127,Python,Python,invalid suffix '#' on integer constant,Lexical,invalid suffix on integer constant
128,Python,Python,unexpected character '@',Lexical,unexpected character
129,C,GCC,unexpected character '!',Lexical,unexpected character
130,Python,Python,invalid token '*',Lexical,invalid token
131,Python,Python,invalid token '%',Lexical,invalid token
132,C,GCC,invalid suffix 'temp' on integer constant,Lexical,invalid suffix temp on integer constant
133,C++,GCC,invalid suffix 'index' on integer constant,Lexical,invalid suffix index on integer constant
134,Python,Python,unexpected character '?',Lexical,unexpected character
135,C++,GCC,invalid suffix 'var' on integer constant,Lexical,invalid suffix var on integer constant
136,C++,GCC,stray '&' in program,Lexical,stray in program
137,Python,Python,invalid character 'var' in identifier,Lexical,invalid character var in identifier
138,Python,Python,unexpected character '^',Lexical,unexpected character
139,Python,Python,unexpected character 'data',Lexical,unexpected character data
140,Python,Python,invalid suffix '#' on integer constant,Lexical,invalid suffix on integer constant
141,C++,Clang,invalid character '?' in identifier,Lexical,invalid character in identifier
142,Python,Python,invalid suffix 'var' on integer constant,Lexical,invalid suffix var on integer constant
143,Python,Python,stray '^' in program,Lexical,stray in program
144,Python,Python,invalid token 'temp',Lexical,invalid token temp
145,C,Clang,unexpected character '!',Lexical,unexpected character
146,C,Clang,invalid suffix '$' on integer constant,Lexical,invalid suffix on integer constant
147,C++,Clang,invalid token 'var',Lexical,invalid token var
148,C++,GCC,stray 'value' in program,Lexical,stray value in program
149,C,Clang,stray '@' in program,Lexical,stray in program
150,Python,Python,invalid suffix '^' on integer constant,Lexical,invalid suffix on integer constant
151,C,GCC,invalid character '%' in identifier,Lexical,invalid character in identifier
152,C,GCC,invalid token 'temp',Lexical,invalid token temp
153,C++,GCC,invalid character '?' in identifier,Lexical,invalid character in identifier
154,C,GCC,invalid token '#',Lexical,invalid token
155,Python,Python,invalid suffix 'data' on integer constant,Lexical,invalid suffix data on integer constant
156,Python,Python,stray '?' in program,Lexical,stray in program
157,Python,Python,invalid token '#',Lexical,invalid token
158,C++,Clang,invalid token '#',Lexical,invalid token
159,Python,Python,invalid suffix 'num' on integer constant,Lexical,invalid suffix num on integer constant
160,C++,Clang,invalid character '*' in identifier,Lexical,invalid character in identifier
161,C,Clang,invalid character 'obj' in identifier,Lexical,invalid character obj in identifier
162,Python,Python,invalid suffix '$' on integer constant,Lexical,invalid suffix on integer constant
163,C,Clang,invalid character '&' in identifier,Lexical,invalid character in identifier
164,Python,Python,unexpected character '%',Lexical,unexpected character
165,C++,Clang,invalid suffix '#' on integer constant,Lexical,invalid suffix on integer constant
166,C++,GCC,invalid token '@',Lexical,invalid token
167,Python,Python,unexpected character '%',Lexical,unexpected character
168,C,GCC,stray '#' in program,Lexical,stray in program
169,Python,Python,unexpected character '^',Lexical,unexpected character
170,C++,Clang,stray 'temp' in program,Lexical,stray temp in program
171,C++,GCC,invalid character '$' in identifier,Lexical,invalid character in identifier
172,Python,Python,stray '^' in program,Lexical,stray in program
173,C++,GCC,stray '#' in program,Lexical,stray in program
174,C,Clang,invalid suffix '?' on integer constant,Lexical,invalid suffix on integer constant
175,C++,GCC,invalid suffix '^' on integer constant,Lexical,invalid suffix on integer constant
176,C++,GCC,invalid suffix '&' on integer constant,Lexical,invalid suffix on integer constant
177,Python,Python,unexpected character '&',Lexical,unexpected character
178,Python,Python,invalid token 'ptr',Lexical,invalid token ptr
179,Python,Python,invalid character 'data' in identifier,Lexical,invalid character data in identifier
180,Python,Python,invalid token 'data',Lexical,invalid token data
181,C,GCC,invalid token '@',Lexical,invalid token
182,C,GCC,invalid suffix '^' on integer constant,Lexical,invalid suffix on integer constant
183,C,Clang,invalid suffix '?' on integer constant,Lexical,invalid suffix on integer constant
184,C,GCC,invalid character 'temp' in identifier,Lexical,invalid character temp in identifier
185,C++,GCC,invalid suffix '!' on integer constant,Lexical,invalid suffix on integer constant
186,C++,GCC,unexpected character 'value',Lexical,unexpected character value
187,C++,GCC,unexpected character '^',Lexical,unexpected character
188,C,Clang,unexpected character '@',Lexical,unexpected character
189,C,Clang,invalid suffix 'temp' on integer constant,Lexical,invalid suffix temp on integer constant
190,C++,GCC,invalid character 'ptr' in identifier,Lexical,invalid character ptr in identifier
191,Python,Python,invalid suffix 'obj' on integer constant,Lexical,invalid suffix obj on integer constant
192,C++,GCC,unexpected character '@',Lexical,unexpected character
193,Python,Python,invalid token '^',Lexical,invalid token
194,C,Clang,stray 'data' in program,Lexical,stray data in program
195,C,GCC,invalid character 'obj' in identifier,Lexical,invalid character obj in identifier
196,C++,Clang,stray 'num' in program,Lexical,stray num in program
197,Python,Python,invalid suffix 'data' on integer constant,Lexical,invalid suffix data on integer constant
198,C++,Clang,invalid character '?' in identifier,Lexical,invalid character in identifier
199,Python,Python,unexpected character 'value',Lexical,unexpected character value
200,C,GCC,invalid token '&',Lexical,invalid token
201,C++,GCC,unexpected character 'index',Lexical,unexpected character index
202,C++,Clang,invalid token '&',Lexical,invalid token
203,Python,Python,invalid character 'num' in identifier,Lexical,invalid character num in identifier
204,C++,GCC,unexpected character '%',Lexical,unexpected character
205,C,GCC,invalid suffix '*' on integer constant,Lexical,invalid suffix on integer constant
206,C++,Clang,unexpected character '*',Lexical,unexpected character
207,C,Clang,unexpected character '*',Lexical,unexpected character
208,C,GCC,stray '^' in program,Lexical,stray in program
209,C,GCC,stray 'index' in program,Lexical,stray index in program
210,Python,Python,invalid suffix 'data' on integer constant,Lexical,invalid suffix data on integer constant
211,C++,GCC,invalid suffix '?' on integer constant,Lexical,invalid suffix on integer constant
212,C++,Clang,invalid suffix '@' on integer constant,Lexical,invalid suffix on integer constant
213,Python,Python,unexpected character 'obj',Lexical,unexpected character obj
214,Python,Python,unexpected character 'obj',Lexical,unexpected character obj
215,C++,Clang,invalid token '?',Lexical,invalid token
216,C++,GCC,invalid token 'temp',Lexical,invalid token temp
217,C,GCC,invalid token 'temp',Lexical,invalid token temp
218,C,Clang,invalid character '^' in identifier,Lexical,invalid character in identifier
219,C,Clang,invalid token 'data',Lexical,invalid token data
220,Python,Python,invalid suffix 'ptr' on integer constant,Lexical,invalid suffix ptr on integer constant
221,Python,Python,invalid character '^' in identifier,Lexical,invalid character in identifier
222,Python,Python,stray '^' in program,Lexical,stray in program
223,Python,Python,invalid character '#' in identifier,Lexical,invalid character in identifier
224,Python,Python,invalid character 'obj' in identifier,Lexical,invalid character obj in identifier
225,Python,Python,invalid character '$' in identifier,Lexical,invalid character in identifier
226,Python,Python,stray '$' in program,Lexical,stray in program
227,C++,Clang,stray 'value' in program,Lexical,stray value in program
228,C++,GCC,unexpected character '@',Lexical,unexpected character
229,Python,Python,invalid suffix 'temp' on integer constant,Lexical,invalid suffix temp on integer constant
230,Python,Python,stray 'value' in program,Lexical,stray value in program
231,C,GCC,stray '&' in program,Lexical,stray in program
232,Python,Python,invalid suffix '^' on integer constant,Lexical,invalid suffix on integer constant
233,C++,GCC,invalid suffix '?' on integer constant,Lexical,invalid suffix on integer constant
234,C,GCC,invalid token '%',Lexical,invalid token
235,Python,Python,invalid token 'ptr',Lexical,invalid token ptr
236,C,GCC,invalid character 'temp' in identifier,Lexical,invalid character temp in identifier
237,C,GCC,unexpected character 'obj',Lexical,unexpected character obj
238,C,GCC,invalid token 'temp',Lexical,invalid token temp
239,C,Clang,stray '!' in program,Lexical,stray in program
240,C,Clang,stray 'temp' in program,Lexical,stray temp in program
241,C,GCC,invalid token '#',Lexical,invalid token
242,C++,GCC,unexpected character 'var',Lexical,unexpected character var
243,C,GCC,stray '@' in program,Lexical,stray in program
244,C++,Clang,stray '&' in program,Lexical,stray in program
245,Python,Python,invalid character 'ptr' in identifier,Lexical,invalid character ptr in identifier
246,C++,GCC,unexpected character '!',Lexical,unexpected character
247,C++,GCC,invalid suffix '^' on integer constant,Lexical,invalid suffix on integer constant
248,C++,GCC,invalid suffix 'temp' on integer constant,Lexical,invalid suffix temp on integer constant
249,C++,GCC,unexpected character '&',Lexical,unexpected character
250,Python,Python,invalid token '@',Lexical,invalid token
251,Python,Python,unexpected character '*',Lexical,unexpected character
252,Python,Python,unexpected character 'data',Lexical,unexpected character data
253,Python,Python,invalid token '@',Lexical,invalid token
254,C++,GCC,unexpected character 'index',Lexical,unexpected character index
255,C++,Clang,invalid character '&' in identifier,Lexical,invalid character in identifier
256,Python,Python,invalid token 'num',Lexical,invalid token num
257,Python,Python,stray '!' in program,Lexical,stray in program
258,C++,Clang,stray '*' in program,Lexical,stray in program
259,C++,GCC,invalid suffix '@' on integer constant,Lexical,invalid suffix on integer constant
260,Python,Python,invalid character 'temp' in identifier,Lexical,invalid character temp in identifier
261,C,Clang,invalid suffix 'var' on integer constant,Lexical,invalid suffix var on integer constant
262,C,Clang,unexpected character '!',Lexical,unexpected character
263,C++,GCC,unexpected character '^',Lexical,unexpected character
264,Python,Python,unexpected character 'data',Lexical,unexpected character data
265,C,GCC,unexpected character '?',Lexical,unexpected character
266,C,Clang,invalid character '@' in identifier,Lexical,invalid character in identifier
267,C,GCC,invalid token '%',Lexical,invalid token
268,Python,Python,stray 'obj' in program,Lexical,stray obj in program
269,C++,Clang,invalid token 'value',Lexical,invalid token value
270,Python,Python,unexpected character '!',Lexical,unexpected character
271,C,Clang,invalid character 'data' in identifier,Lexical,invalid character data in identifier
272,Python,Python,stray '%' in program,Lexical,stray in program
273,Python,Python,unexpected character '&',Lexical,unexpected character
274,Python,Python,invalid character 'temp' in identifier,Lexical,invalid character temp in identifier
275,C++,Clang,unexpected character 'value',Lexical,unexpected character value
276,C,Clang,invalid suffix '$' on integer constant,Lexical,invalid suffix on integer constant
277,C++,Clang,invalid token 'var',Lexical,invalid token var
278,C++,GCC,invalid suffix '&' on integer constant,Lexical,invalid suffix on integer constant
279,Python,Python,invalid character '#' in identifier,Lexical,invalid character in identifier
280,C++,Clang,invalid token 'value',Lexical,invalid token value
281,Python,Python,invalid suffix '^' on integer constant,Lexical,invalid suffix on integer constant
282,C++,GCC,unexpected character '&',Lexical,unexpected character
283,C,Clang,unexpected character 'data',Lexical,unexpected character data
284,C++,Clang,unexpected character 'data',Lexical,unexpected character data
285,C,Clang,invalid token '!',Lexical,invalid token
286,C,Clang,invalid character '&' in identifier,Lexical,invalid character in identifier
287,C,GCC,invalid token 'num',Lexical,invalid token num
288,Python,Python,unexpected character 'ptr',Lexical,unexpected character ptr
289,Python,Python,invalid token '*',Lexical,invalid token
290,C++,GCC,invalid suffix 'value' on integer constant,Lexical,invalid suffix value on integer constant
291,C,Clang,stray 'temp' in program,Lexical,stray temp in program
292,C++,Clang,unexpected character 'ptr',Lexical,unexpected character ptr
293,C++,Clang,invalid suffix 'var' on integer constant,Lexical,invalid suffix var on integer constant
294,C,Clang,invalid suffix '!' on integer constant,Lexical,invalid suffix on integer constant
295,Python,Python,stray '!' in program,Lexical,stray in program
296,C,Clang,stray 'value' in program,Lexical,stray value in program
297,Python,Python,invalid token '&',Lexical,invalid token
298,Python,Python,invalid character '$' in identifier,Lexical,invalid character in identifier
299,C++,Clang,invalid token 'index',Lexical,invalid token index
300,C,Clang,stray '&' in program,Lexical,stray in program
301,C++,GCC,invalid character '!' in identifier,Lexical,invalid character in identifier
302,Python,Python,invalid character '!' in identifier,Lexical,invalid character in identifier
303,C,GCC,invalid token '$',Lexical,invalid token
304,Python,Python,invalid character '@' in identifier,Lexical,invalid character in identifier
305,Python,Python,invalid character '%' in identifier,Lexical,invalid character in identifier
306,Python,Python,invalid token 'data',Lexical,invalid token data
307,C++,GCC,unexpected character '%',Lexical,unexpected character
308,Python,Python,invalid character 'num' in identifier,Lexical,invalid character num in identifier
309,C++,GCC,invalid token 'data',Lexical,invalid token data
310,C,GCC,invalid suffix '#' on integer constant,Lexical,invalid suffix on integer constant
311,Python,Python,unexpected character '%',Lexical,unexpected character
312,C,Clang,unexpected character '?',Lexical,unexpected character
313,C++,GCC,unexpected character '#',Lexical,unexpected character
314,C,GCC,stray 'value' in program,Lexical,stray value in program
315,C,Clang,invalid suffix '&' on integer constant,Lexical,invalid suffix on integer constant
316,C,Clang,invalid token 'index',Lexical,invalid token index
317,C,Clang,unexpected character '^',Lexical,unexpected character
318,C,Clang,unexpected character '^',Lexical,unexpected character
319,C,GCC,stray '^' in program,Lexical,stray in program
320,C++,GCC,invalid suffix '#' on integer constant,Lexical,invalid suffix on integer constant
321,Python,Python,stray 'var' in program,Lexical,stray var in program
322,Python,Python,invalid suffix '*' on integer constant,Lexical,invalid suffix on integer constant
323,C++,Clang,invalid suffix '?' on integer constant,Lexical,invalid suffix on integer constant
324,C++,GCC,unexpected character '&',Lexical,unexpected character
325,C,Clang,unexpected character 'temp',Lexical,unexpected character temp
326,Python,Python,stray 'num' in program,Lexical,stray num in program
327,C,Clang,unexpected character 'num',Lexical,unexpected character num
328,Python,Python,invalid suffix '!' on integer constant,Lexical,invalid suffix on integer constant
329,C++,Clang,invalid character 'data' in identifier,Lexical,invalid character data in identifier
330,C,GCC,stray 'ptr' in program,Lexical,stray ptr in program
331,Python,Python,stray '*' in program,Lexical,stray in program
332,C,GCC,stray 'var' in program,Lexical,stray var in program
333,C++,GCC,unexpected character 'data',Lexical,unexpected character data
334,C,Clang,invalid token '&',Lexical,invalid token
335,C++,Clang,invalid character 'value' in identifier,Lexical,invalid character value in identifier
336,C,GCC,stray '&' in program,Lexical,stray in program
337,C,Clang,unexpected character 'obj',Lexical,unexpected character obj
338,C++,Clang,invalid suffix 'temp' on integer constant,Lexical,invalid suffix temp on integer constant
339,Python,Python,stray '#' in program,Lexical,stray in program
340,Python,Python,invalid character '@' in identifier,Lexical,invalid character in identifier
341,C++,Clang,invalid token '*',Lexical,invalid token
342,Python,Python,invalid token '@',Lexical,invalid token
343,C,GCC,invalid character 'num' in identifier,Lexical,invalid character num in identifier
344,C,GCC,invalid suffix 'value' on integer constant,Lexical,invalid suffix value on integer constant
345,C,GCC,invalid character '&' in identifier,Lexical,invalid character in identifier
346,Python,Python,unexpected character 'index',Lexical,unexpected character index
347,C++,GCC,unexpected character '%',Lexical,unexpected character
348,Python,Python,invalid character 'index' in identifier,Lexical,invalid character index in identifier
349,Python,Python,invalid suffix 'obj' on integer constant,Lexical,invalid suffix obj on integer constant
350,C,Clang,invalid character '@' in identifier,Lexical,invalid character in identifier
351,C,Clang,invalid character '*' in identifier,Lexical,invalid character in identifier
352,Python,Python,invalid character 'index' in identifier,Lexical,invalid character index in identifier
353,C,Clang,invalid token '?',Lexical,invalid token
354,C,GCC,invalid suffix 'temp' on integer constant,Lexical,invalid suffix temp on integer constant
355,C++,Clang,stray '&' in program,Lexical,stray in program
356,C,GCC,invalid token 'ptr',Lexical,invalid token ptr
357,C++,GCC,invalid suffix '$' on integer constant,Lexical,invalid suffix on integer constant
358,Python,Python,stray 'index' in program,Lexical,stray index in program
359,C,GCC,invalid token '^',Lexical,invalid token
360,C++,Clang,invalid token '#',Lexical,invalid token
361,Python,Python,stray 'ptr' in program,Lexical,stray ptr in program
362,Python,Python,stray 'ptr' in program,Lexical,stray ptr in program
363,Python,Python,invalid suffix 'num' on integer constant,Lexical,invalid suffix num on integer constant
364,C,Clang,invalid suffix 'temp' on integer constant,Lexical,invalid suffix temp on integer constant
365,C++,GCC,unexpected character 'ptr',Lexical,unexpected character ptr
366,C,Clang,invalid suffix '&' on integer constant,Lexical,invalid suffix on integer constant
367,Python,Python,stray '*' in program,Lexical,stray in program
368,Python,Python,invalid suffix 'var' on integer constant,Lexical,invalid suffix var on integer constant
369,C++,GCC,invalid suffix 'data' on integer constant,Lexical,invalid suffix data on integer constant
370,C,Clang,invalid character '@' in identifier,Lexical,invalid character in identifier
371,C++,GCC,unexpected character '!',Lexical,unexpected character
372,Python,Python,unexpected character 'num',Lexical,unexpected character num
373,Python,Python,stray '%' in program,Lexical,stray in program
374,C,Clang,invalid suffix '%' on integer constant,Lexical,invalid suffix on integer constant
375,Python,Python,invalid token '*',Lexical,invalid token
376,C++,GCC,stray '?' in program,Lexical,stray in program
377,C,Clang,stray 'var' in program,Lexical,stray var in program
378,C++,Clang,invalid suffix '^' on integer constant,Lexical,invalid suffix on integer constant
379,Python,Python,invalid character 'num' in identifier,Lexical,invalid character num in identifier
380,C,GCC,invalid suffix '%' on integer constant,Lexical,invalid suffix on integer constant
381,Python,Python,invalid token '@',Lexical,invalid token
382,Python,Python,invalid token '^',Lexical,invalid token
383,C,Clang,stray '!' in program,Lexical,stray in program
384,C++,GCC,invalid token '*',Lexical,invalid token
385,Python,Python,unexpected character 'data',Lexical,unexpected character data
386,Python,Python,invalid character '$' in identifier,Lexical,invalid character in identifier
387,C,GCC,invalid character 'ptr' in identifier,Lexical,invalid character ptr in identifier
388,C,Clang,unexpected character '?',Lexical,unexpected character
389,Python,Python,invalid token 'data',Lexical,invalid token data
390,C++,GCC,stray '$' in program,Lexical,stray in program
391,C,GCC,stray '#' in program,Lexical,stray in program
392,C++,GCC,invalid suffix 'obj' on integer constant,Lexical,invalid suffix obj on integer constant
393,C++,Clang,invalid token 'value',Lexical,invalid token value
394,C++,Clang,unexpected character '@',Lexical,unexpected character
395,C,Clang,unexpected character 'obj',Lexical,unexpected character obj
396,C,Clang,stray 'index' in program,Lexical,stray index in program
397,C++,Clang,invalid suffix '$' on integer constant,Lexical,invalid suffix on integer constant
398,C++,GCC,invalid suffix '#' on integer constant,Lexical,invalid suffix on integer constant
399,Python,Python,unexpected character 'obj',Lexical,unexpected character obj
400,C,GCC,unexpected character '$',Lexical,unexpected character
401,Python,Python,SyntaxError: invalid syntax near 'value',Syntactic,syntaxerror invalid syntax near value
402,C,GCC,expected ')' before 'var' token,Syntactic,expected before var token
403,Python,Python,expected ')' before 'data' token,Syntactic,expected before data token
404,C,Clang,expected ';' before '#' token,Syntactic,expected before token
405,Python,Python,SyntaxError: invalid syntax near 'value',Syntactic,syntaxerror invalid syntax near value
406,C,GCC,SyntaxError: invalid syntax near 'ptr',Syntactic,syntaxerror invalid syntax near ptr
407,C,GCC,SyntaxError: invalid syntax near 'temp',Syntactic,syntaxerror invalid syntax near temp
408,Python,Python,expected expression before '&' token,Syntactic,expected expression before token
409,C++,GCC,SyntaxError: invalid syntax near 'data',Syntactic,syntaxerror invalid syntax near data
410,C++,Clang,expected ';' before 'index' token,Syntactic,expected before index token
411,C,GCC,unexpected EOF while parsing '?',Syntactic,unexpected eof while parsing
412,Python,Python,expected ')' before '$' token,Syntactic,expected before token
413,C++,Clang,SyntaxError: invalid syntax near '#',Syntactic,syntaxerror invalid syntax near
414,Python,Python,expected ';' before 'num' token,Syntactic,expected before num token
415,C,Clang,expected ';' before '#' token,Syntactic,expected before token
416,C,GCC,expected ')' before '?' token,Syntactic,expected before token
417,C++,Clang,expected ')' before '!' token,Syntactic,expected before token
418,C,GCC,expected ')' before 'var' token,Syntactic,expected before var token
419,C,Clang,expected ';' before '^' token,Syntactic,expected before token
420,C++,GCC,SyntaxError: invalid syntax near '^',Syntactic,syntaxerror invalid syntax near
421,C,Clang,SyntaxError: invalid syntax near 'ptr',Syntactic,syntaxerror invalid syntax near ptr
422,C,GCC,unexpected EOF while parsing 'index',Syntactic,unexpected eof while parsing index
423,C,GCC,expected ')' before '^' token,Syntactic,expected before token
424,Python,Python,expected ';' before 'value' token,Syntactic,expected before value token
425,C++,Clang,unexpected EOF while parsing 'num',Syntactic,unexpected eof while parsing num
426,C,Clang,SyntaxError: invalid syntax near '!',Syntactic,syntaxerror invalid syntax near
427,Python,Python,expected ')' before 'temp' token,Syntactic,expected before temp token
428,C++,Clang,expected expression before '&' token,Syntactic,expected expression before token
429,C++,GCC,expected ')' before '%' token,Syntactic,expected before token
430,C++,Clang,expected ')' before '&' token,Syntactic,expected before token
