error_id,language,compiler,error_message,category
82,C++,Clang,cannot convert 'admin' to pointer,Semantic
83,Python,Python,syntax error near 'buffer',Syntactic
84,C,GCC,use of undeclared identifier '&',Semantic
85,Python,Python,invalid token 'node',Lexical
86,C++,Clang,unexpected character 'omega',Lexical
87,Python,Python,expected ')' matching '(' before 'char',Syntactic
88,C,Clang,IndexError: 'type' index out of range,Semantic
89,C++,GCC,expected '}' at end of input near 'flag',Syntactic
90,C++,Clang,expected ')' matching '(' before '*',Syntactic
91,C++,Clang,redefinition of 'average',Semantic
92,C,Clang,syntax error near 'x',Syntactic
93,C++,Clang,invalid token 'omega',Lexical
94,C,GCC,invalid token 'value',Lexical
95,C++,Clang,redefinition of 'width',Semantic
96,C++,GCC,expected ';' before 'average',Syntactic
97,Python,Python,unexpected '>',Syntactic
98,C++,Clang,expected ';' before 'sum',Syntactic
99,Python,Python,incompatible types when assigning 'temp' to 'temp',Semantic
100,Python,Python,expected '}' at end of input near '=',Syntactic
101,Python,Python,expected ';' before 'temp',Syntactic
102,C++,Clang,IndexError: '|' index out of range,Semantic
103,C++,GCC,missing 'mode' in expression,Syntactic
104,C++,GCC,incompatible types when assigning 'epsilon' to 'epsilon',Semantic
105,C,GCC,redefinition of 'y',Semantic
106,Python,Python,expected ';' before 'obj',Syntactic
107,C++,GCC,expected '}' at end of input near 'x',Syntactic
108,Python,Python,use of undeclared identifier 'obj',Semantic
109,C++,Clang,unexpected character 'min',Lexical
110,C,Clang,syntax error near 'beta',Syntactic
111,C++,GCC,expected identifier or '(' before 'list',Syntactic
112,C,Clang,expected '}' at end of input near 'size',Syntactic
113,C++,Clang,invalid suffix 'epsilon' on integer constant,Lexical
114,C,GCC,invalid character '?' in identifier,Lexical
115,C,Clang,unexpected character 'admin',Lexical
116,C++,GCC,missing whitespace after 'user',Lexical
117,C++,Clang,syntax error near '>',Syntactic
118,Python,Python,missing 'length' in expression,Syntactic
119,C++,GCC,invalid suffix 'flag' on integer constant,Lexical
120,C++,Clang,missing whitespace after 'x',Lexical
121,C++,GCC,redefinition of 'temp',Semantic
122,C,Clang,cannot convert 'count' to pointer,Semantic
123,C,GCC,variable 'mode' is uninitialized when used here,Semantic
124,C,GCC,TypeError: unsupported operand types for 'mean',Semantic
125,C,Clang,cannot convert 'ptr' to pointer,Semantic
126,C++,GCC,IndexError: 'count' index out of range,Semantic
127,C,Clang,syntax error near 'width',Syntactic
128,Python,Python,unterminated string literal '@',Lexical
129,C,Clang,cannot convert 'var' to pointer,Semantic
130,C,GCC,expected ')' matching '(' before 'name',Syntactic
131,C,Clang,unexpected character 'buffer',Lexical
132,C++,GCC,expected '}' at end of input near 'password',Syntactic
133,C++,Clang,invalid character 'length' in identifier,Lexical
134,C++,Clang,expected identifier or '(' before 'j',Syntactic
135,C,Clang,expected ';' before 'flag',Syntactic
136,C++,GCC,missing 'y' in expression,Syntactic
137,C++,Clang,variable 'key' is uninitialized when used here,Semantic
138,Python,Python,stray 'i' in program,Lexical
139,C++,Clang,expected '}' at end of input near 'bar',Syntactic
140,C++,Clang,unexpected character '&',Lexical
141,C++,GCC,IndexError: 'value' index out of range,Semantic
142,C,GCC,unterminated string literal 'x',Lexical
143,C++,Clang,missing whitespace after 'width',Lexical
144,C++,GCC,IndexError: 'max' index out of range,Semantic
145,C++,GCC,incompatible types when assigning 'mode' to 'mode',Semantic
146,C++,GCC,expected identifier or '(' before 'sum',Syntactic
147,Python,Python,stray '>' in program,Lexical
148,C,Clang,unexpected 'int',Syntactic
149,C++,Clang,missing whitespace after '*',Lexical
150,C++,GCC,stray '~' in program,Lexical
151,C,Clang,unexpected character 'gamma',Lexical
152,C++,Clang,invalid token 'item',Lexical
153,Python,Python,invalid token 'i',Lexical
154,C,GCC,IndexError: '=' index out of range,Semantic
155,Python,Python,IndexError: 'average' index out of range,Semantic
156,C++,Clang,missing 'min' in expression,Syntactic
157,C++,GCC,cannot convert 'data' to pointer,Semantic
158,C,GCC,incompatible types when assigning 'result' to 'result',Semantic
159,C++,GCC,expected identifier or '(' before 'y',Syntactic
160,Python,Python,invalid token 'val',Lexical
161,C++,Clang,syntax error near '!',Syntactic
162,C,GCC,incompatible types when assigning 'float' to 'float',Semantic
163,C,Clang,invalid suffix 'y' on integer constant,Lexical
164,C++,GCC,expected '}' at end of input near '%',Syntactic
165,C++,Clang,use of undeclared identifier 'float',Semantic
166,C++,GCC,invalid suffix 'ptr' on integer constant,Lexical
167,C,Clang,expected '}' at end of input near 'num',Syntactic
168,Python,Python,incompatible types when assigning '?' to '?',Semantic
169,C++,GCC,use of undeclared identifier 'type',Semantic
170,C,Clang,expected identifier or '(' before 'result',Syntactic
171,Python,Python,missing 'result' in expression,Syntactic
172,C++,GCC,TypeError: unsupported operand types for 'average',Semantic
173,C,Clang,redefinition of '+',Semantic
174,C++,Clang,expected '}' at end of input near 'test',Syntactic
175,C,GCC,IndexError: 'foo' index out of range,Semantic
176,C++,GCC,cannot convert 'state' to pointer,Semantic
177,Python,Python,use of undeclared identifier 'flag',Semantic
178,C,Clang,expected ';' before 'result',Syntactic
179,C,GCC,unterminated string literal '/',Lexical
180,C++,Clang,IndexError: 'buffer' index out of range,Semantic
181,Python,Python,unterminated string literal 'buffer',Lexical
182,C++,GCC,incompatible types when assigning 'index' to 'index',Semantic
183,C,GCC,unexpected character 'int',Lexical
184,C,Clang,syntax error near 'float',Syntactic
185,C,Clang,expected identifier or '(' before '~',Syntactic
186,C,Clang,incompatible types when assigning 'max' to 'max',Semantic
187,C++,GCC,stray '-' in program,Lexical
188,C++,GCC,variable 'epsilon' is uninitialized when used here,Semantic
189,C++,GCC,variable '^' is uninitialized when used here,Semantic
190,C++,Clang,syntax error near 'alpha',Syntactic
191,C,Clang,expected ';' before 'password',Syntactic
192,C,GCC,incompatible types when assigning 'type' to 'type',Semantic
193,Python,Python,expected ')' matching '(' before '~',Syntactic
194,C++,Clang,invalid character '@' in identifier,Lexical
195,C++,GCC,use of undeclared identifier 'foo',Semantic
196,C,Clang,variable 'index' is uninitialized when used here,Semantic
197,Python,Python,missing whitespace after 'i',Lexical
198,C++,GCC,expected '}' at end of input near 'max',Syntactic
199,C,Clang,unexpected character 'alpha',Lexical
200,C,GCC,expected '}' at end of input near 'double',Syntactic
201,C,Clang,TypeError: unsupported operand types for 'total',Semantic
202,Python,Python,redefinition of '?',Semantic
203,C,Clang,cannot convert 'total' to pointer,Semantic
204,C,GCC,redefinition of 'delta',Semantic
205,C++,Clang,invalid suffix 'list' on integer constant,Lexical
206,C,Clang,redefinition of 'obj',Semantic
207,Python,Python,use of undeclared identifier 'buffer',Semantic
208,C,Clang,TypeError: unsupported operand types for 'x',Semantic
209,C,Clang,stray 'mean' in program,Lexical
210,Python,Python,TypeError: unsupported operand types for 'alpha',Semantic
211,Python,Python,expected '}' at end of input near '-',Syntactic
212,Python,Python,cannot convert 'val' to pointer,Semantic
213,C++,GCC,IndexError: 'node' index out of range,Semantic
214,C,GCC,invalid suffix 'min' on integer constant,Lexical
215,C,Clang,cannot convert 'length' to pointer,Semantic
216,C++,Clang,cannot convert '?' to pointer,Semantic
217,Python,Python,TypeError: unsupported operand types for 'obj',Semantic
218,C,Clang,missing 'password' in expression,Syntactic
219,C,Clang,missing whitespace after 'mean',Lexical
220,Python,Python,TypeError: unsupported operand types for 'gamma',Semantic
221,C,GCC,invalid suffix '-' on integer constant,Lexical
222,Python,Python,missing whitespace after 'id',Lexical
223,Python,Python,expected identifier or '(' before 'mean',Syntactic
224,C,GCC,unterminated string literal 'test',Lexical
225,C++,Clang,missing 'char' in expression,Syntactic
226,Python,Python,expected ';' before 'delta',Syntactic
227,C,GCC,missing 'id' in expression,Syntactic
228,Python,Python,IndexError: 'temp' index out of range,Semantic
229,C++,Clang,unexpected character 'status',Lexical
230,C++,Clang,syntax error near 'data',Syntactic
231,C++,Clang,redefinition of 'i',Semantic
232,C++,Clang,expected '}' at end of input near 'min',Syntactic
233,C,Clang,expected '}' at end of input near 'buffer',Syntactic
234,C++,GCC,unterminated string literal 'omega',Lexical
235,Python,Python,missing whitespace after 'index',Lexical
236,C,GCC,IndexError: 'array' index out of range,Semantic
237,C++,Clang,invalid suffix 'id' on integer constant,Lexical
238,Python,Python,unterminated string literal 'flag',Lexical
239,C,Clang,missing whitespace after 'delta',Lexical
240,Python,Python,unterminated string literal 'value',Lexical
241,Python,Python,expected '}' at end of input near 'i',Syntactic
242,C,Clang,invalid suffix '^' on integer constant,Lexical
243,C,Clang,expected '}' at end of input near 'alpha',Syntactic
244,C,Clang,expected '}' at end of input near 'y',Syntactic
245,C,GCC,TypeError: unsupported operand types for 'status',Semantic
246,C++,Clang,stray 'x' in program,Lexical
247,C,GCC,invalid token 'data',Lexical
248,C++,Clang,missing 'state' in expression,Syntactic
249,C,Clang,unterminated string literal 'mean',Lexical
250,C,GCC,expected '}' at end of input near 'omega',Syntactic
251,C,GCC,expected '}' at end of input near 'status',Syntactic
252,C,Clang,unexpected character '-',Lexical
253,Python,Python,redefinition of '~',Semantic
254,C,GCC,variable 'bar' is uninitialized when used here,Semantic
255,Python,Python,invalid token 'average',Lexical
256,C++,GCC,unexpected 'user',Syntactic
257,C,GCC,unexpected 'count',Syntactic
258,C,GCC,missing whitespace after 'array',Lexical
259,C,GCC,unexpected 'item',Syntactic
260,C++,GCC,missing whitespace after 'flag',Lexical
261,C,GCC,missing 'total' in expression,Syntactic
262,C,GCC,IndexError: 'name' index out of range,Semantic
263,C,GCC,redefinition of 'buffer',Semantic
264,C,GCC,invalid character 'val' in identifier,Lexical
265,C,Clang,cannot convert '~' to pointer,Semantic
266,C++,Clang,unexpected 'password',Syntactic
267,C++,GCC,variable 'var' is uninitialized when used here,Semantic
268,Python,Python,IndexError: 'var' index out of range,Semantic
269,C,Clang,unexpected 'flag',Syntactic
270,C++,Clang,incompatible types when assigning 'alpha' to 'alpha',Semantic
271,C++,GCC,cannot convert 'beta' to pointer,Semantic
272,C,Clang,incompatible types when assigning 'double' to 'double',Semantic
273,C++,GCC,invalid character 'var' in identifier,Lexical
274,C++,GCC,cannot convert 'node' to pointer,Semantic
275,Python,Python,expected '}' at end of input near 'mode',Syntactic
276,C,Clang,stray '^' in program,Lexical
277,C++,Clang,missing 'type' in expression,Syntactic
278,C++,Clang,invalid suffix 'obj' on integer constant,Lexical
279,Python,Python,invalid token 'buffer',Lexical
280,C++,GCC,expected ';' before 'foo',Syntactic
281,C,GCC,invalid token 'test',Lexical
282,Python,Python,unexpected 'state',Syntactic
283,Python,Python,invalid suffix 'var' on integer constant,Lexical
284,C++,GCC,use of undeclared identifier 'num',Semantic
285,C,GCC,stray 'val' in program,Lexical
286,C++,Clang,IndexError: 'beta' index out of range,Semantic
287,C++,Clang,IndexError: 'x' index out of range,Semantic
288,C,GCC,syntax error near '|',Syntactic
289,C,Clang,syntax error near 'j',Syntactic
290,C++,Clang,syntax error near 'delta',Syntactic
291,C++,Clang,expected identifier or '(' before 'ptr',Syntactic
292,C,GCC,cannot convert 'result' to pointer,Semantic
293,C,Clang,expected identifier or '(' before 'width',Syntactic
294,Python,Python,expected ')' matching '(' before 'gamma',Syntactic
295,C,Clang,missing '@' in expression,Syntactic
296,C++,Clang,variable 'size' is uninitialized when used here,Semantic
297,Python,Python,invalid character 'min' in identifier,Lexical
298,C++,Clang,redefinition of 'type',Semantic
299,C++,GCC,IndexError: '*' index out of range,Semantic
300,C++,GCC,redefinition of 'ptr',Semantic
301,C,Clang,unexpected character '!',Lexical
302,Python,Python,invalid token 'epsilon',Lexical
303,C,Clang,use of undeclared identifier 'min',Semantic
304,C,Clang,invalid character 'y' in identifier,Lexical
305,C,Clang,expected ';' before 'total',Syntactic
306,C++,GCC,invalid suffix 'gamma' on integer constant,Lexical
307,C++,Clang,TypeError: unsupported operand types for 'i',Semantic
308,C++,Clang,use of undeclared identifier 'height',Semantic
309,C,GCC,incompatible types when assigning 'sum' to 'sum',Semantic
310,C++,GCC,invalid suffix 'sum' on integer constant,Lexical
311,C++,Clang,unexpected character 'name',Lexical
312,C++,GCC,TypeError: unsupported operand types for '=',Semantic
313,C,Clang,invalid token '<',Lexical
314,Python,Python,expected '}' at end of input near 'width',Syntactic
315,C++,GCC,stray 'mode' in program,Lexical
316,C,Clang,expected ';' before '%',Syntactic
317,C,GCC,unexpected character 'type',Lexical
318,C,Clang,cannot convert 'double' to pointer,Semantic
319,Python,Python,unexpected character 'i',Lexical
320,C++,Clang,TypeError: unsupported operand types for 'size',Semantic
321,C++,GCC,variable '!' is uninitialized when used here,Semantic
322,C++,GCC,stray 'test' in program,Lexical
323,C,GCC,use of undeclared identifier 'alpha',Semantic
324,C,Clang,syntax error near 'length',Syntactic
325,Python,Python,incompatible types when assigning 'list' to 'list',Semantic
326,C,GCC,cannot convert 'average' to pointer,Semantic
327,C++,GCC,cannot convert 'password' to pointer,Semantic
328,C,GCC,unexpected 'key',Syntactic
329,C++,Clang,use of undeclared identifier 'j',Semantic
330,C,GCC,expected ';' before 'mode',Syntactic
331,Python,Python,expected identifier or '(' before 'val',Syntactic
332,C++,GCC,variable '=' is uninitialized when used here,Semantic
333,C,Clang,syntax error near 'double',Syntactic
334,C,GCC,expected ')' matching '(' before 'list',Syntactic
335,C,GCC,missing '|' in expression,Syntactic
336,C,GCC,redefinition of 'flag',Semantic
337,C++,GCC,unexpected 'ptr',Syntactic
338,C++,GCC,incompatible types when assigning '+' to '+',Semantic
339,Python,Python,expected '}' at end of input near '<',Syntactic
340,C++,GCC,syntax error near 'admin',Syntactic
341,C,GCC,use of undeclared identifier 'key',Semantic
342,Python,Python,expected ')' matching '(' before 'val',Syntactic
343,C++,GCC,use of undeclared identifier 'sum',Semantic
344,Python,Python,unexpected 'average',Syntactic
345,C,Clang,expected identifier or '(' before 'height',Syntactic
346,C++,GCC,unexpected character '>',Lexical
347,C++,GCC,invalid suffix '<' on integer constant,Lexical
348,Python,Python,redefinition of 'double',Semantic
349,C++,Clang,redefinition of '^',Semantic
350,C++,Clang,missing whitespace after '^',Lexical
351,C++,Clang,invalid character 'temp' in identifier,Lexical
352,C++,Clang,stray 'type' in program,Lexical
353,C++,Clang,invalid character 'max' in identifier,Lexical
354,Python,Python,expected ';' before 'beta',Syntactic
355,C,GCC,unexpected character 'char',Lexical
356,C++,Clang,invalid suffix '?' on integer constant,Lexical
357,C++,GCC,use of undeclared identifier 'data',Semantic
358,C++,Clang,syntax error near 'node',Syntactic
359,C,GCC,expected identifier or '(' before 'average',Syntactic
360,C,GCC,variable 'average' is uninitialized when used here,Semantic
361,Python,Python,expected identifier or '(' before '%',Syntactic
362,Python,Python,invalid suffix 'str' on integer constant,Lexical
363,C++,Clang,unexpected '!',Syntactic
364,C++,GCC,unexpected 'alpha',Syntactic
365,C,Clang,unexpected 'x',Syntactic
366,C,GCC,syntax error near 'index',Syntactic
367,C++,Clang,incompatible types when assigning 'var' to 'var',Semantic
368,Python,Python,unexpected character 'x',Lexical
369,C++,Clang,invalid suffix 'height' on integer constant,Lexical
370,C,Clang,unexpected character 'count',Lexical
371,Python,Python,invalid token 'list',Lexical
372,C++,Clang,expected identifier or '(' before 'max',Syntactic
373,C++,GCC,missing whitespace after 'val',Lexical
374,C++,GCC,TypeError: unsupported operand types for '-',Semantic
375,C++,Clang,invalid character 'status' in identifier,Lexical
376,Python,Python,missing 'user' in expression,Syntactic
377,C++,GCC,invalid token 'type',Lexical
378,C,GCC,use of undeclared identifier 'gamma',Semantic
379,C,GCC,expected ')' matching '(' before 'item',Syntactic
380,Python,Python,missing whitespace after 'double',Lexical
381,C++,Clang,invalid token 'status',Lexical
382,C++,GCC,missing 'x' in expression,Syntactic
383,C,Clang,syntax error near 'i',Syntactic
384,C,Clang,invalid character 'buffer' in identifier,Lexical
385,Python,Python,stray 'beta' in program,Lexical
386,C++,GCC,expected ';' before 'admin',Syntactic
387,C,GCC,invalid character 'j' in identifier,Lexical
388,C,GCC,cannot convert 'omega' to pointer,Semantic
389,Python,Python,IndexError: 'delta' index out of range,Semantic
390,C,GCC,missing 'status' in expression,Syntactic
391,C,GCC,unexpected character 'test',Lexical
392,C,Clang,unexpected character '/',Lexical
393,C,GCC,use of undeclared identifier 'str',Semantic
394,C++,GCC,syntax error near 'max',Syntactic
395,C++,Clang,unexpected 'max',Syntactic
396,C++,GCC,missing 'double' in expression,Syntactic
397,Python,Python,expected ')' matching '(' before '&',Syntactic
398,C,Clang,variable 'type' is uninitialized when used here,Semantic
399,Python,Python,TypeError: unsupported operand types for 'test',Semantic
400,C++,Clang,invalid character '&' in identifier,Lexical
401,Python,Python,cannot convert 'epsilon' to pointer,Semantic
402,Python,Python,unterminated string literal 'sum',Lexical
403,C,GCC,unexpected '-',Syntactic
404,Python,Python,use of undeclared identifier 'max',Semantic
405,C++,Clang,cannot convert 'num' to pointer,Semantic
406,Python,Python,incompatible types when assigning 'str' to 'str',Semantic
407,C,Clang,unterminated string literal 'width',Lexical
408,C,Clang,missing 'gamma' in expression,Syntactic
409,C,Clang,expected ')' matching '(' before 'sum',Syntactic
410,C++,GCC,expected ')' matching '(' before 'y',Syntactic
411,Python,Python,unexpected 'length',Syntactic
412,C++,GCC,IndexError: 'length' index out of range,Semantic
413,C++,GCC,missing whitespace after '=',Lexical
414,C,GCC,incompatible types when assigning '=' to '=',Semantic
415,C,Clang,TypeError: unsupported operand types for 'sum',Semantic
416,Python,Python,IndexError: 'index' index out of range,Semantic
417,C,GCC,unterminated string literal '+',Lexical
418,Python,Python,TypeError: unsupported operand types for 'foo',Semantic
419,Python,Python,expected ';' before 'str',Syntactic
420,C,GCC,TypeError: unsupported operand types for 'password',Semantic
421,C,Clang,stray 'epsilon' in program,Lexical
422,C++,GCC,invalid token 'sum',Lexical
423,C,GCC,missing 'float' in expression,Syntactic
424,C,GCC,incompatible types when assigning 'height' to 'height',Semantic
425,C++,Clang,unterminated string literal 'list',Lexical
426,C,GCC,variable 'num' is uninitialized when used here,Semantic
427,Python,Python,TypeError: unsupported operand types for 'node',Semantic
428,C,Clang,stray 'y' in program,Lexical
429,C++,Clang,cannot convert '|' to pointer,Semantic
430,C,GCC,redefinition of '%',Semantic
431,C,GCC,stray 'list' in program,Lexical
432,C,Clang,incompatible types when assigning 'foo' to 'foo',Semantic
433,C++,Clang,expected ')' matching '(' before 'bar',Syntactic
434,C,GCC,syntax error near 'sum',Syntactic
435,Python,Python,expected '}' at end of input near 'beta',Syntactic
436,C,Clang,expected ')' matching '(' before 'var',Syntactic
437,C++,Clang,invalid token 'length',Lexical
438,C,GCC,variable 'name' is uninitialized when used here,Semantic
439,C,Clang,expected ';' before '&',Syntactic
440,C++,Clang,expected ')' matching '(' before 'mode',Syntactic
441,C++,Clang,unexpected character 'var',Lexical
442,C++,GCC,cannot convert 'height' to pointer,Semantic
443,C++,Clang,missing whitespace after '!',Lexical
444,C++,GCC,invalid token '=',Lexical
445,C++,GCC,unexpected character 'double',Lexical
446,C,Clang,invalid token 'y',Lexical
447,C++,Clang,stray 'admin' in program,Lexical
448,C++,Clang,IndexError: 'double' index out of range,Semantic
449,Python,Python,IndexError: 'key' index out of range,Semantic
450,C,GCC,expected identifier or '(' before '+',Syntactic
451,C,Clang,incompatible types when assigning 'mean' to 'mean',Semantic
452,C++,GCC,unexpected character 'epsilon',Lexical
453,C,Clang,use of undeclared identifier 'var',Semantic
454,C++,Clang,expected ';' before '-',Syntactic
455,C,GCC,variable 'id' is uninitialized when used here,Semantic
456,C,Clang,unterminated string literal 'key',Lexical
457,C++,GCC,invalid token 'name',Lexical
458,Python,Python,expected ')' matching '(' before 'flag',Syntactic
459,C++,GCC,unexpected 'gamma',Syntactic
460,Python,Python,missing whitespace after 'height',Lexical
461,Python,Python,invalid suffix 'width' on integer constant,Lexical
462,C++,Clang,redefinition of 'foo',Semantic
463,C++,Clang,invalid character '~' in identifier,Lexical
464,C++,GCC,use of undeclared identifier 'ptr',Semantic
465,C,GCC,incompatible types when assigning 'ptr' to 'ptr',Semantic
466,C++,GCC,redefinition of 'bar',Semantic
467,C,GCC,unexpected character 'sum',Lexical
468,Python,Python,missing 'mean' in expression,Syntactic
469,C++,GCC,expected ';' before 'count',Syntactic
470,C,Clang,variable 'buffer' is uninitialized when used here,Semantic
471,C++,GCC,variable 'height' is uninitialized when used here,Semantic
472,C,Clang,incompatible types when assigning 'gamma' to 'gamma',Semantic
473,C,Clang,unexpected character '<',Lexical
474,Python,Python,redefinition of 'omega',Semantic
475,C,GCC,expected ';' before 'type',Syntactic
476,C,GCC,invalid suffix 'delta' on integer constant,Lexical
477,C,Clang,redefinition of 'key',Semantic
478,Python,Python,invalid token 'gamma',Lexical
479,C,GCC,use of undeclared identifier 'x',Semantic
480,C++,Clang,expected ';' before 'user',Syntactic
481,C++,GCC,use of undeclared identifier 'item',Semantic
482,Python,Python,unterminated string literal '-',Lexical
483,C,Clang,expected ')' matching '(' before 'array',Syntactic
484,C++,GCC,invalid suffix 'password' on integer constant,Lexical
485,C,Clang,unexpected 'omega',Syntactic
486,Python,Python,TypeError: unsupported operand types for 'bar',Semantic
487,C++,GCC,IndexError: 'num' index out of range,Semantic
488,C++,GCC,expected ';' before 'epsilon',Syntactic
489,C,GCC,variable 'str' is uninitialized when used here,Semantic
490,Python,Python,expected identifier or '(' before 'status',Syntactic
491,Python,Python,missing '%' in expression,Syntactic
492,C++,GCC,unexpected character '*',Lexical
493,C++,Clang,missing '!' in expression,Syntactic
494,Python,Python,expected ';' before '/',Syntactic
495,C++,GCC,missing whitespace after 'gamma',Lexical
496,C++,Clang,unterminated string literal 'delta',Lexical
497,C++,Clang,unterminated string literal '^',Lexical
498,C,GCC,redefinition of 'var',Semantic
499,C++,Clang,invalid token 'ptr',Lexical
500,Python,Python,unexpected 'list',Syntactic
501,C++,Clang,stray 'name' in program,Lexical
502,Python,Python,unterminated string literal '<',Lexical
503,C,GCC,expected ';' before '>',Syntactic
504,C,Clang,invalid suffix 'int' on integer constant,Lexical
505,C,GCC,expected identifier or '(' before 'char',Syntactic
506,Python,Python,invalid suffix 'type' on integer constant,Lexical
507,Python,Python,use of undeclared identifier 'id',Semantic
508,Python,Python,expected ')' matching '(' before 'temp',Syntactic
509,C,Clang,cannot convert 'value' to pointer,Semantic
510,C++,GCC,invalid suffix 'item' on integer constant,Lexical
511,C++,Clang,redefinition of 'user',Semantic
512,C++,Clang,use of undeclared identifier 'epsilon',Semantic
513,C++,GCC,unexpected character 'user',Lexical
514,C,GCC,incompatible types when assigning 'size' to 'size',Semantic
515,C++,GCC,cannot convert 'max' to pointer,Semantic
516,C++,GCC,IndexError: 'int' index out of range,Semantic
517,C,Clang,expected ';' before '+',Syntactic
518,C++,Clang,missing whitespace after '+',Lexical
519,C,Clang,stray 'num' in program,Lexical
520,Python,Python,unexpected character '?',Lexical
521,C,GCC,cannot convert '-' to pointer,Semantic
522,C,Clang,redefinition of 'height',Semantic
523,C,Clang,incompatible types when assigning 'obj' to 'obj',Semantic
524,C++,Clang,variable '+' is uninitialized when used here,Semantic
525,C++,GCC,redefinition of '|',Semantic
526,C++,Clang,invalid character 'user' in identifier,Lexical
527,C++,Clang,variable 'array' is uninitialized when used here,Semantic
528,C++,Clang,unterminated string literal 'int',Lexical
529,C,GCC,expected ';' before '<',Syntactic
530,C,GCC,invalid token 'key',Lexical
531,C++,GCC,expected identifier or '(' before 'item',Syntactic
532,Python,Python,invalid character 'mode' in identifier,Lexical
